gvkey,company_name,date,year,revenue,total_assets,net_income,operating_income,total_liabilities,equity,r_and_d,capital_expenditure,share_price,company,ni,csho,prcc_f,net_profit_margin,roa,roe,debt_ratio,debt_to_equity,r_and_d_ratio,capex_ratio,revenue_growth,net_income_growth,asset_growth
253759,BYD COMPANY LTD,2022/12/31,2022,414781.24,493860.646,16622.448,39691.781,372470.809,111029.299,18654.453,,0,BYD,,,,0.040075217,0.033658175,0.149712266,0.754202247,3.354707382,0.044974197,,0.991411682,4.458595003,0.669688284
253759,BYD COMPANY LTD,2023/12/31,2023,590468.27,679547.67,30040.811,75724.955,529085.557,138810.065,39574.945,,0,BYD,,,,0.050876249,0.044207069,0.216416663,0.778584903,3.811579204,0.067022983,,0.423565516,0.807243494,0.375990728
253759,BYD COMPANY LTD,2024/12/31,2024,761135.162,783355.855,40254.346,111114.178,584667.646,185251.104,53194.745,,0,BYD,,,,0.052887251,0.051387049,0.217296119,0.74636277,3.156081844,0.069888697,,0.289036517,0.339988657,0.152760711
4839,FORD MOTOR CO,2022/12/31,2022,158057,255884,-1981,17284,212717,43242,7800,6866,,Ford,-1981,3986.182,11.63,-0.012533453,-0.007741789,-0.045811942,0.831302465,4.919222053,0.049349285,0.043440025,0.159277107,-1.110442103,-0.004477989
4839,FORD MOTOR CO,2023/12/31,2023,176191,273310,4347,19459,230512,42773,8200,8236,,Ford,4347,3973.633,12.19,0.024672089,0.015905016,0.101629533,0.843408584,5.389194118,0.046540402,0.046744726,0.114730762,-3.19434629,0.068101171
4839,FORD MOTOR CO,2024/12/31,2024,184992,285196,5879,21569,240338,44835,8000,8684,,Ford,5879,3963.445,9.9,0.031779753,0.020613894,0.131125237,0.842711679,5.36049961,0.043245113,0.04694257,0.049951473,0.352426961,0.043489078
184996,TESLA INC,2022/12/31,2022,81462,82338,12556,17579,36440,44704,3075,7163,,Tesla,12556,3164,123.18,0.154133215,0.152493381,0.280869721,0.442566008,0.815139585,0.037747661,0.087930569,0.513516526,1.275049828,0.325232171
184996,TESLA INC,2023/12/31,2023,96773,106618,14997,13558,43009,62634,3969,8899,,Tesla,14997,3185,248.48,0.154970911,0.140661052,0.239438644,0.403393423,0.686671776,0.041013506,0.091957467,0.187952665,0.194409047,0.294882071
184996,TESLA INC,2024/12/31,2024,97690,122070,7091,13128,48390,72913,4540,11342,,Tesla,7091,3216,403.84,0.072586754,0.058089621,0.09725289,0.396411895,0.663667659,0.046473539,0.116101955,0.009475784,-0.527172101,0.144928624
19661,TOYOTA MOTOR CORP,2023/3/31,2022,279487,558933,18440,35843,338798,213173,9340,25257,,Toyota,18440,1356.518,141.69,0.065978024,0.032991432,0.086502512,0.606151363,1.589310091,0.03341837,0.090369141,0.081580923,-0.214316148,0.002735877
19661,TOYOTA MOTOR CORP,2024/3/31,2023,298146,595788,32693,49189,362804,226251,8187,31167,,Toyota,32693,1347.417,251.68,0.10965433,0.054873546,0.144498809,0.608948149,1.603546504,0.027459701,0.104536033,0.066761603,0.772939262,0.065938136
19661,TOYOTA MOTOR CORP,2025/3/31,2024,320782,625056,31821,47057,378784,239901,8858,32746,,Toyota,31821,1304.893,176.53,0.099198209,0.050909039,0.132642215,0.606000102,1.57891797,0.027613769,0.102081788,0.075922535,-0.026672376,0.049124856
